Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39553794,000001A1,false,Rx,0,8,7F,FF,10,FF,FF,FF,FF,FF,
39563749,00000217,false,Rx,0,8,F1,00,80,00,00,FF,FE,E0,
39591162,0000051F,false,Rx,0,8,15,FF,00,00,01,48,00,00,
39593277,00000317,false,Rx,0,8,F4,20,82,88,40,00,00,00,
39616983,000000DF,false,Rx,0,3,10,00,50,00,00,00,00,00,
39634757,00000227,false,Rx,0,4,00,00,10,00,00,00,00,00,
39650096,000002E1,false,Rx,0,5,DD,F4,40,1C,00,00,00,00,
39680374,000003B6,false,Rx,0,6,36,4A,52,48,52,48,00,00,
39748128,000003A5,false,Rx,0,6,FF,FF,FF,FF,7F,00,00,00,
39748154,00000265,false,Rx,0,4,00,00,00,00,00,00,00,00,
39750247,000001E0,false,Rx,0,5,00,00,00,00,00,00,00,00,
39750271,000001A5,false,Rx,0,1,00,00,00,00,00,00,00,00,
39751565,000002A5,false,Rx,0,8,00,00,00,00,00,00,00,00,
39751589,00000325,false,Rx,0,3,00,00,00,00,00,00,00,00,
39752581,00000365,false,Rx,0,5,FF,FF,FF,00,00,00,00,00,
39752607,000003E5,false,Rx,0,6,00,00,00,00,00,00,00,00,
39777813,00000336,false,Rx,0,3,56,46,33,00,00,00,00,00,
39808839,00000265,false,Rx,0,4,80,00,00,00,00,00,00,00,
39836817,00000161,false,Rx,0,7,00,00,FF,07,00,00,FF,00,
39849332,00000165,false,Rx,0,4,48,80,00,00,00,00,00,00,
39851108,00000221,false,Rx,0,7,00,FF,FF,FF,FF,FF,FF,00,
39950027,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
40053113,00000165,false,Rx,0,4,48,A0,00,00,00,00,00,00,
40054518,00000261,false,Rx,0,7,25,02,39,00,49,03,99,00,
40116160,000003F6,false,Rx,0,7,00,06,70,00,00,C0,01,00,
40119027,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
40123756,00000225,false,Rx,0,5,20,00,40,03,98,00,00,00,
40157903,000003F6,false,Rx,0,7,00,06,80,00,00,C0,01,00,
40190853,00000120,false,Rx,0,8,F0,00,00,00,00,00,00,00,
40225889,00000531,false,Rx,0,8,00,00,00,00,00,00,00,00,
40264753,00000520,false,Rx,0,8,00,00,00,00,00,00,00,00,
40275644,000003A7,false,Rx,0,8,10,00,00,03,EE,01,3C,05,
40449897,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
40507876,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
40530088,000003F6,false,Rx,0,7,00,00,10,00,00,C0,01,00,
40955769,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
41084210,0000049F,false,Rx,0,8,50,71,55,00,03,04,05,06,
41120123,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
41157125,000003F6,false,Rx,0,7,00,06,90,00,00,C0,01,00,
41162377,000000B6,false,Rx,0,8,FF,FF,FF,FF,00,00,00,D0,
41305848,000001A8,false,Rx,0,8,00,FF,FF,00,00,FF,FF,FF,
41364986,00000221,false,Rx,0,7,80,FF,FF,FF,FF,FF,FF,00,
41368202,000002A1,false,Rx,0,7,FF,02,39,FF,FF,03,99,00,
41368213,00000261,false,Rx,0,7,FF,02,39,FF,FF,03,99,00,
41420144,000001A1,false,Rx,0,8,80,00,58,FF,FF,FF,FF,FF,
41435741,000000F6,false,Rx,0,8,88,FF,FF,FF,FF,FC,FF,28,
41470594,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
41547956,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
41571965,000003F6,false,Rx,0,7,00,00,20,00,00,C0,01,00,
41681266,000002E1,false,Rx,0,5,DD,C4,40,1C,00,00,00,00,
41698177,000001E1,false,Rx,0,8,40,40,40,40,80,20,00,00,
41752329,00000128,false,Rx,0,8,B0,C0,00,00,C0,80,B0,01,
41815847,00000168,false,Rx,0,8,8D,40,00,B2,24,00,20,00,
41948026,000000F6,false,Rx,0,8,88,FF,FF,FF,FF,FF,FF,28,
41971161,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
42119065,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
42130652,00000128,false,Rx,0,8,91,E0,00,00,C0,80,B0,01,
42132202,000000F6,false,Rx,0,8,88,FF,FF,FF,FF,FF,FF,20,
42158594,000003F6,false,Rx,0,7,00,06,A0,00,00,C0,01,00,
42221399,00000168,false,Rx,0,8,05,00,00,02,24,00,00,00,
42476498,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
42587990,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
42610784,000003F6,false,Rx,0,7,00,00,30,00,00,C0,01,00,
42959640,000004A0,false,Rx,0,8,50,C9,17,80,FF,FF,FF,FF,
42985819,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
43019622,000004A0,false,Rx,0,8,50,C9,18,80,FF,FF,FF,FF,
43071909,000004A0,false,Rx,0,8,58,C9,19,80,FF,FF,FF,FF,
43120955,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
43123491,000004A0,false,Rx,0,8,58,C9,1A,80,FF,FF,FF,FF,
43159045,000003F6,false,Rx,0,7,00,06,B0,00,00,C0,01,00,
43226885,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
43443289,000001A1,false,Rx,0,8,00,83,C6,FF,FF,FF,FF,FF,
43454418,00000167,false,Rx,0,8,09,06,FF,FF,80,83,00,00,
43479316,00000217,false,Rx,0,8,F1,00,80,00,00,FF,FF,E0,
43491952,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
43549096,0000049F,false,Rx,0,8,58,71,55,FF,03,04,05,06,
43628265,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
43653016,000003F6,false,Rx,0,7,00,00,40,00,00,C0,01,00,
43996230,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
44125918,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
44166499,000003F6,false,Rx,0,7,00,06,C0,00,00,C0,01,00,
44242049,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
44501433,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
44668809,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
44692697,000003F6,false,Rx,0,7,00,00,50,00,00,C0,01,00,
45017250,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
45127878,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
45165778,000003F6,false,Rx,0,7,00,06,D0,00,00,C0,01,00,
45263012,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
45522496,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
45581782,000001A1,false,Rx,0,8,80,08,C1,FF,FF,FF,FF,FF,
45594122,00000167,false,Rx,0,8,09,06,FF,FF,80,08,00,00,
45708772,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
45732686,000003F6,false,Rx,0,7,00,00,60,00,00,C0,01,00,
46037878,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
46134889,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
46174283,000003F6,false,Rx,0,7,00,06,E0,00,00,C0,01,00,
46283180,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
46542976,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
46749802,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
46772641,000003F6,false,Rx,0,7,00,00,70,00,00,C0,01,00,
47048087,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
47135044,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
47174627,000003F6,false,Rx,0,7,00,06,F0,00,00,C0,01,00,
47292649,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
47548477,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
47789313,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
47813253,000003F6,false,Rx,0,7,00,00,80,00,00,C0,01,00,
48048509,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
48135502,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
48174963,000003F6,false,Rx,0,7,00,07,00,00,00,C0,01,00,
48293017,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
48548835,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
48829257,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
48851995,000003F6,false,Rx,0,7,00,00,90,00,00,C0,01,00,
49048867,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
49135785,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
49175046,000003F6,false,Rx,0,7,00,07,10,00,00,C0,01,00,
49292553,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
49548836,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
49868929,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
49892001,000003F6,false,Rx,0,7,00,00,A0,00,00,C0,01,00,
50049211,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
50136382,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
50174732,000003F6,false,Rx,0,7,00,07,20,00,00,C0,01,00,
50294138,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
50549488,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
50908704,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
50933716,000003F6,false,Rx,0,7,00,00,B0,00,00,C0,01,00,
51049431,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
51136738,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
51175995,000003F6,false,Rx,0,7,00,07,30,00,00,C0,01,00,
51294408,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
51549821,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
51948749,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
51955446,00000221,false,Rx,0,7,C0,FF,FF,FF,FF,FF,FF,00,
51977974,000003F6,false,Rx,0,7,00,00,C0,00,00,C0,01,00,
52049881,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
52137028,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
52177719,000003F6,false,Rx,0,7,00,07,40,00,00,C0,01,00,
52294784,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
52549793,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
52605050,000001A1,false,Rx,0,8,00,65,41,FF,FF,FF,FF,FF,
52636453,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
52988690,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
53014880,000003F6,false,Rx,0,7,00,00,D0,00,00,C0,01,00,
53049299,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
53147719,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
53187228,000003F6,false,Rx,0,7,00,07,50,00,00,C0,01,00,
53294017,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
53549703,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
53559389,000002A1,false,Rx,0,7,FF,FF,FF,FF,FF,03,99,00,
54028918,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
54050736,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
54053550,000003F6,false,Rx,0,7,00,00,E0,00,00,C0,01,00,
54146879,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
54160715,00000261,false,Rx,0,7,FF,FF,FF,FF,FF,03,99,00,
54187251,000003F6,false,Rx,0,7,00,07,60,00,00,C0,01,00,
54296098,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
54550862,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
55050862,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
55069390,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
55093830,000003F6,false,Rx,0,7,00,00,F0,00,00,C0,01,00,
55147989,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
55187577,000003F6,false,Rx,0,7,00,07,70,00,00,C0,01,00,
55296217,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
55551151,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
56052005,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
56109452,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
56134047,000003F6,false,Rx,0,7,00,01,00,00,00,C0,01,00,
56148752,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
56187621,000003F6,false,Rx,0,7,00,07,80,00,00,C0,01,00,
56295433,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
56551732,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
57052167,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
57151160,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
57173083,000003F6,false,Rx,0,7,00,01,10,00,00,C0,01,00,
57187015,000003F6,false,Rx,0,7,00,07,90,00,00,C0,01,00,
57296844,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
57552021,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
57611205,000001A1,false,Rx,0,8,80,08,C1,FF,FF,FF,FF,FF,
57623441,00000167,false,Rx,0,8,09,06,FF,FF,80,08,00,00,
58052448,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
58154219,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
58189489,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
58193790,000003F6,false,Rx,0,7,00,07,A0,00,00,C0,01,00,
58216335,000003F6,false,Rx,0,7,00,01,20,00,00,C0,01,00,
58297513,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
58552486,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
59052950,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
59154498,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
59195011,000003F6,false,Rx,0,7,00,07,B0,00,00,C0,01,00,
59230845,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
59254774,000003F6,false,Rx,0,7,00,01,30,00,00,C0,01,00,
59297949,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
59552855,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
60052861,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
60155149,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
60194142,000003F6,false,Rx,0,7,00,07,C0,00,00,C0,01,00,
60271226,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
60295213,000003F6,false,Rx,0,7,00,01,40,00,00,C0,01,00,
60299372,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
60552833,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
61053187,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
61155202,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
61196475,000003F6,false,Rx,0,7,00,07,D0,00,00,C0,01,00,
61297494,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
61311336,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
61335418,000003F6,false,Rx,0,7,00,01,50,00,00,C0,01,00,
61553533,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
62053544,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
62160612,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
62194766,000003F6,false,Rx,0,7,00,07,E0,00,00,C0,01,00,
62298948,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
62351118,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
62375303,000003F6,false,Rx,0,7,00,01,60,00,00,C0,01,00,
62553937,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
63053912,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
63156130,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
63195775,000003F6,false,Rx,0,7,00,07,F0,00,00,C0,01,00,
63299307,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
63391688,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
63415908,000003F6,false,Rx,0,7,00,01,70,00,00,C0,01,00,
63554251,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
64054165,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
64156585,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
64194710,000003F6,false,Rx,0,7,00,08,00,00,00,C0,01,00,
64299809,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
64431958,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
64455864,000003F6,false,Rx,0,7,00,01,80,00,00,C0,01,00,
64554508,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
64609900,000001A1,false,Rx,0,8,00,65,41,FF,FF,FF,FF,FF,
64619245,00000167,false,Rx,0,8,09,06,FF,FF,00,00,00,00,
65054517,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
65162035,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
65200981,000003F6,false,Rx,0,7,00,08,10,00,00,C0,01,00,
65300237,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
65471889,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
65495479,000003F6,false,Rx,0,7,00,01,90,00,00,C0,01,00,
65554861,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
66055407,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
66162363,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
66201961,000003F6,false,Rx,0,7,00,08,20,00,00,C0,01,00,
66300301,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
66512429,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
66534304,000003F6,false,Rx,0,7,00,01,A0,00,00,C0,01,00,
66555186,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
67055584,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
67162720,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
67202275,000003F6,false,Rx,0,7,00,08,30,00,00,C0,01,00,
67300641,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
67552126,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
67555869,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
67576041,000003F6,false,Rx,0,7,00,01,B0,00,00,C0,01,00,
68055879,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
68163334,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
68202654,000003F6,false,Rx,0,7,00,08,40,00,00,C0,01,00,
68300989,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
68555899,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
68592100,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
68615448,000003F6,false,Rx,0,7,00,01,C0,00,00,C0,01,00,
69056216,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
69163740,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
69203658,000003F6,false,Rx,0,7,00,08,50,00,00,C0,01,00,
69218670,000003E5,false,Rx,0,6,00,01,00,00,00,00,00,00,
69300476,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
69345968,000003F6,false,Rx,0,7,00,01,C0,00,00,C0,01,00,
69423525,000003E5,false,Rx,0,6,00,00,00,00,00,00,00,00,
69552451,000003F6,false,Rx,0,7,00,01,D0,00,00,C0,01,00,
69556194,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
69615773,000001A1,false,Rx,0,8,80,E0,C6,FF,FF,FF,FF,FF,
69626319,00000167,false,Rx,0,8,09,06,FF,FF,80,E0,00,00,
69632679,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
70056563,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
70169151,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
70209113,000003F6,false,Rx,0,7,00,08,60,00,00,C0,01,00,
70301893,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
70556897,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
70592417,000003F6,false,Rx,0,7,00,01,E0,00,00,C0,01,00,
70672907,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
71057455,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
71169496,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
71208504,000003F6,false,Rx,0,7,00,08,70,00,00,C0,01,00,
71302678,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
71557237,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
71633821,000003F6,false,Rx,0,7,00,01,F0,00,00,C0,01,00,
71711578,000001A1,false,Rx,0,8,00,78,C6,80,00,00,00,00,
71713287,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
71722656,00000167,false,Rx,0,8,09,06,FF,FF,80,78,00,00,
72057579,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
72174849,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
72214240,000003F6,false,Rx,0,7,00,08,80,00,00,C0,01,00,
72302691,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
72360628,000003F6,false,Rx,0,7,00,01,F0,00,00,C0,01,00,
72557575,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
72568846,000003F6,false,Rx,0,7,00,02,00,00,00,C0,01,00,
72755337,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
73056456,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
73175049,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
73214529,000003F6,false,Rx,0,7,00,08,90,00,00,C0,01,00,
73302947,00000120,false,Rx,0,8,7C,10,00,03,00,04,00,08,
73557930,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
73609167,000003F6,false,Rx,0,7,00,02,10,00,00,C0,01,00,
73793394,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
73812871,000001A1,false,Rx,0,8,80,7F,C6,FF,FF,FF,FF,FF,
73822688,00000167,false,Rx,0,8,09,06,FF,FF,80,7F,00,00,
74058573,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
74185508,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
74223552,000003F6,false,Rx,0,7,00,08,A0,00,00,C0,01,00,
74303680,00000120,false,Rx,0,8,FC,00,00,00,00,0F,00,00,
74557215,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
74649355,000003F6,false,Rx,0,7,00,02,20,00,00,C0,01,00,
74831631,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
75058613,00000260,false,Rx,0,8,03,03,A4,C0,00,C0,00,00,
75186548,00000525,false,Rx,0,8,05,00,00,00,00,00,00,00,
75223933,000003F6,false,Rx,0,7,00,08,B0,00,00,C0,01,00,
75273424,000003F6,false,Rx,0,7,00,02,20,00,00,C0,01,00,
75303680,00000120,false,Rx,0,8,BC,00,00,00,00,00,00,00,
75481456,000003F6,false,Rx,0,7,00,02,30,00,00,C0,01,00,
75558613,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
75873388,00000525,false,Rx,0,8,05,00,01,00,00,00,00,00,
76059374,00000260,false,Rx,0,8,02,03,92,C0,00,D0,00,10,
